ID,label,label0,label1,label2,label3,label4
0,9,9,9,9,9,9
1,7,5,5,5,5,5
2,6,2,2,2,2,2
3,1,1,1,1,1,1
4,8,8,8,8,8,8
5,2,3,3,3,3,3
6,2,8,8,8,8,8
7,8,9,9,9,9,9
8,8,9,9,9,9,9
9,7,9,9,9,9,9
10,2,3,3,3,3,3
11,6,8,8,8,8,8
12,2,3,3,3,3,3
13,0,1,1,1,1,1
14,3,5,5,5,5,5
15,8,1,1,1,1,1
16,0,3,3,3,3,3
17,3,5,5,5,5,5
18,5,7,7,7,7,7
19,5,2,2,2,2,2
20,8,1,1,1,1,1
21,8,8,8,8,8,8
22,9,7,7,7,7,7
23,1,6,6,6,6,6
24,3,3,3,3,3,3
25,0,8,8,8,8,8
26,1,9,9,9,9,9
27,2,0,0,0,0,0
28,2,5,5,5,5,5
29,9,9,9,9,9,9
30,3,7,7,7,7,7
31,3,0,0,6,0,6
32,7,8,8,8,8,8
33,5,0,0,0,0,6
34,3,7,7,7,7,7
35,1,5,5,5,5,5
36,3,7,7,7,7,7
37,4,2,2,2,2,2
38,0,1,1,1,1,1
39,4,7,7,7,7,7
40,9,5,5,5,5,5
41,5,1,1,1,1,1
42,4,0,0,0,6,0
43,6,3,6,4,6,6
44,6,1,1,1,1,1
45,8,0,0,6,0,6
46,5,0,0,0,0,0
47,7,6,6,6,6,6
48,7,1,1,1,1,1
49,1,4,4,4,4,4
50,9,8,8,8,8,8
51,3,3,1,1,1,1
52,9,4,4,4,4,4
53,0,9,9,9,9,9
54,6,4,4,4,4,4
55,6,6,6,6,6,6
56,0,8,8,8,8,8
57,9,8,8,8,8,8
58,7,1,1,1,1,1
59,4,6,6,6,6,6
60,5,5,5,5,5,5
61,8,5,5,5,5,5
62,8,2,2,2,2,2
63,6,1,1,1,1,1
64,8,7,7,7,7,7
65,3,2,2,2,2,2
66,4,2,2,2,2,2
67,4,0,0,6,0,0
68,8,3,4,4,4,4
69,3,4,4,4,4,4
70,2,4,4,4,4,4
71,5,6,6,6,2,6
72,3,5,5,5,5,5
73,6,5,5,5,5,5
74,4,5,5,5,5,5
75,4,6,6,6,6,6
76,7,9,9,9,9,9
77,8,7,7,7,7,7
78,5,0,0,0,0,0
79,8,2,2,2,2,2
80,3,2,2,2,2,2
81,9,8,8,8,8,8
82,4,3,0,6,3,3
83,0,9,9,9,9,9
84,0,3,3,3,3,3
85,0,7,7,7,7,7
86,8,9,9,9,9,9
87,4,6,6,6,6,6
88,7,3,3,3,3,3
89,6,9,9,9,9,9
90,0,0,0,6,0,0
91,8,1,1,1,1,1
